手机,发布会,x玖少年团,美国,宣布,核酸检测,汽车,华为,传播,健康,夏天,媒体,生产,日本,毕业,影像,民警,能量,隔离,拍摄,k党,也中枪,嫌疑人,犯罪,镜头,患者,代言人,歧视,独立,海上,第一次,警察,孩子,生命,夏日,工厂,确诊,制度,特斯拉,海域,售价,博主,特朗普,前置,新冠肺炎,旗袍,用户,发言人,受伤,报警,涉嫌,营销,高中,世锦赛,疫情防控,屏幕,模式,渠道,高端,著名,目标,退出,身体,维护,专辑,湖北,管控,海军,唐山,事发,管理,张某,尴尬,司机,爆发,免费,网传,视觉,搜救,本土,陷入,巅峰,核酸,选举,产能,猥亵,苹果,黄金,跳水,销售,爆料,顶级,监控,警惕,工艺,功能,周杰伦,福景,基地,原本
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.2222222,0.2222222,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.2380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0888889,0.0,0.0,0.1269841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.0,0.0,0.0,0.0,0.2222222,0.8888889,0.5555556,0.1388889,0.0,0.0,0.0,0.1555556,0.0,0.0,0.2222222,0.0,0.0,0.0,0.0,0.0,0.1805556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.1555556,0.1805556,0.0,0.0,0.1555556,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222,0.0,0.0,0.0,0.1388889,0.0,0.0,0.0,0.0,0.4166667,0.2777778,0.1269841,0.3111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556
0.0,0.0,0.0,0.0888889,0.0,0.0,0.1269841,0.0,0.0,0.1180556,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.0,0.0,0.0,0.0,0.2222222,0.5555556,0.8888889,0.0,0.0,0.0,0.0,0.1555556,0.0,0.0,0.2222222,0.0,0.1388889,0.0,0.0,0.0,0.1805556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.1555556,0.1805556,0.1388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222,0.0,0.0,0.0,0.1388889,0.0,0.0,0.0,0.0,0.2777778,0.1388889,0.1269841,0.3111111,0.0,0.0,0.0,0.1555556,0.1555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388889,0.0,0.1555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4761905,0.3095238,0.0,0.0,0.0,0.0,0.0,0.4642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.55,0.0,0.0,0.1388889,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.1833333,0.1833333,0.0,0.4166667,0.0,0.0,0.3095238,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.6666667,0.4642857,0.0,0.0,0.0,0.1547619,0.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.3095238,0.0,0.1833333,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.1666667,0.1833333,0.3666667,0.0,0.55,0.4166667,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1166667,0.0,0.1833333,0.0,0.0,0.1833333,0.2916667,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.1833333,0.0,0.0,0.1547619,0.0,0.0,0.1666667,0.0,0.1666667,0.3333333,0.2083333,0.0,0.0,0.0,0.1833333,0.0,0.2083333,0.2083333,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,0.3095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.1666667,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1714286,0.0,0.0,0.0,0.2,0.1714286,0.1714286,0.0,0.1625,0.0,0.1416667,0.0,0.0,0.1714286,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.8,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.1833333,0.1833333,0.225,0.0,0.0,0.0,0.2,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.1714286,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1714286,0.0,0.4,0.15,0.0,0.3428571,0.0,0.0,0.0,0.0,0.1416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.1555556,0.1555556,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.3666667,0.1714286,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416667,0.1714286,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1714286,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.1833333,0.0,0.1833333,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
0.1071429,0.0,0.0,0.1047619,0.0,0.1714286,0.0,0.1428571,0.0,0.1339286,0.0,0.1130952,0.0,0.1964286,0.0,0.1547619,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.1547619,0.1547619,0.0,0.1714286,0.0,0.1714286,0.8571429,0.0,0.0,0.1547619,0.1339286,0.1547619,0.1547619,0.1964286,0.0,0.2380952,0.0,0.1714286,0.0,0.1964286,0.1964286,0.0,0.0,0.1714286,0.0,0.0,0.1547619,0.1964286,0.0,0.0,0.1428571,0.1547619,0.1428571,0.0,0.0,0.0,0.1428571,0.3095238,0.0,0.3095238,0.0,0.1964286,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2380952,0.0,0.4,0.2166667,0.0,0.4761905,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.2222222,0.2222222,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.2380952,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130952,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.1388889,0.0,0.1666667,0.0,0.0,0.0,0.1833333,0.1547619,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.3666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.1833333,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339286,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1190476,0.0,0.0,0.1166667,0.1333333,0.1833333,0.3095238,0.1547619,0.0,0.1458333,0.0,0.25,0.3095238,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.1833333,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.8333333,0.1666667,0.2083333,0.4166667,0.0,0.0,0.1833333,0.0,0.2083333,0.2083333,0.0,0.0,0.0,0.0,0.0,0.1666667,0.2083333,0.0,0.0,0.3095238,0.0,0.1547619,0.0,0.0,0.0,0.1547619,0.0,0.0,0.1666667,0.0,0.2083333,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.2083333,0.25,0.25,0.0,0.1666667,0.0,0.0,0.2083333,0.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0
0.0,0.1547619,0.0,0.2333333,0.0,0.55,0.0,0.0,0.1833333,0.4375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.1833333,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.1666667,0.8333333,0.2083333,0.0,0.0,0.0,0.1833333,0.0,0.2083333,0.4166667,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,0.4642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.2083333,0.5,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.55,0.1833333,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1583333,0.0,0.225,0.1964286,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2916667,0.1805556,0.1805556,0.0,0.2083333,0.0,0.225,0.225,0.0,0.1964286,0.2916667,0.0,0.0,0.0,0.2083333,0.2083333,0.75,0.0,0.0,0.0,0.225,0.0,0.25,0.25,0.0,0.0,0.0,0.225,0.0,0.2083333,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.4166667,0.0,0.25,0.0,0.0,0.0,0.2083333,0.3928571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3214286,0.1964286,0.0,0.1583333,0.175,0.0,0.3928571,0.1964286,0.0,0.0,0.0,0.1666667,0.1964286,0.0,0.0,0.2083333,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.75,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1964286,0.2083333,0.1964286,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.225,0.225,0.0,0.0,0.2916667,0.0,0.2083333,0.25,0.0,0.25,0.2083333,0.225,0.225,0.0,0.225,0.0,0.0,0.0,0.2083333,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.2380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5428571,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.3428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1833333,0.225,0.0,0.0,0.55,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.1357143,0.1714286,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.225,0.2,0.0,0.0,0.0,0.0,0.1833333,0.1833333,0.0,0.2,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.1833333,0.1833333,0.225,0.225,0.0,0.2,0.8,0.0,0.225,0.225,0.0,0.3428571,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.1714286,0.1833333,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.1833333,0.0,0.225,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.225,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.3666667,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2833333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3214286,0.1964286,0.0,0.0,0.0,0.225,0.0,0.3928571,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.25,0.45,0.0,0.0,0.0,0.0,0.4166667,0.2083333,0.0,0.225,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.2083333,0.2083333,0.25,0.0,0.0,0.0,0.225,0.0,0.75,0.25,0.0,0.1964286,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.1964286,0.4166667,0.3928571,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.25,0.0,0.0,0.0,0.0,0.1964286,0.0,0.225,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.45,0.5,0.0,0.0,0.0,0.0
0.0,0.1964286,0.0,0.1583333,0.0,0.45,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.225,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.2083333,0.4166667,0.25,0.0,0.0,0.0,0.225,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.5892857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.25,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.225,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
0.3214286,0.1428571,0.0,0.0,0.0,0.0,0.0,0.1428571,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.4642857,0.0,0.0,0.0,0.3428571,0.0,0.0,0.0,0.0,0.3095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.3428571,0.3428571,0.0,0.1964286,0.0,0.0,0.8571429,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.3095238,0.1428571,0.0,0.2380952,0.0,0.1428571,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571,0.0,0.1714286,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.1547619,0.3428571,0.1714286,0.0,0.3428571,0.1964286,0.0,0.0,0.1547619,0.0
0.0,0.0,0.0,0.2666667,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333,0.1714286,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.1555556,0.0,0.0,0.0,0.0,0.0,0.4,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571,0.1833333,0.0,0.1833333,0.0,0.0,0.0,0.225,0.1833333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1333333,0.15,0.0,0.1714286,0.0,0.0,0.0,0.0,0.1416667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2666667,0.1555556,0.1555556,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2666667,0.0,0.1833333,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.1714286,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.1833333,0.1714286,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.1805556,0.1805556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.1388889,0.0,0.1666667,0.0,0.1833333,0.0,0.0,0.1547619,0.0,0.0,0.1666667,0.0,0.1666667,0.1666667,0.2083333,0.0,0.0,0.0,0.1833333,0.0,0.2083333,0.2083333,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.1833333,0.0,0.2083333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
